id,date,shelter_name,city,state,total_capacity,occupied_beds,available_beds,occupancy_rate,average_age,male_percentage,female_percentage,season,notes,day_of_week,month,is_holiday,temperature,rainfall_mm,area_population,staff_count,funding_level,food_availability_score,medical_facilities_available,children_count,senior_citizens_count,new_admissions,exits_today,emergency_cases,unemployment_rate,crime_rate,covid_cases_city,public_event_impact
17,06-04-2024,Jeevan Jyoti Shelter,Chennai,TN,270,208,62,77.0,18,47,53,Summer,No issues reported,Saturday,4,0,19.5,104.2,142036,44,High,2,0,51,46,28,13,7,13.1,11.8,125,1
18,03-09-2025,Umeed Ki Kiran,Surat,GJ,57,54,3,94.7,65,40,60,Monsoon,High demand,Wednesday,9,0,29.2,270.0,903392,20,High,6,0,47,25,27,12,8,8.8,4.1,51,0
19,07-04-2025,Sahara Vikas Kendra,Surat,GJ,270,212,58,78.5,45,48,52,Summer,New admissions pending,Monday,4,0,37.9,6.5,331696,32,High,2,1,42,47,0,9,4,6.8,2.1,403,1
20,16-08-2025,Sahara Vikas Kendra,Chennai,TN,90,80,10,88.9,42,41,59,Monsoon,Normal,Saturday,8,0,15.8,199.1,3712340,20,Medium,8,1,38,20,3,17,1,5.5,13.2,102,1
21,24-11-2024,Umeed Ki Kiran,Kolkata,WB,97,82,15,84.5,27,57,43,Autumn,Excellent condition,Sunday,11,0,32.4,289.0,1240456,8,High,8,0,48,12,9,3,1,8.2,13.0,360,0
22,28-09-2024,Sahara Vikas Kendra,Mumbai,MH,168,125,43,74.4,42,52,48,Monsoon,New admissions pending,Saturday,9,0,22.4,168.1,4479723,49,Medium,5,0,11,8,2,7,6,14.1,6.6,423,1
23,29-05-2025,Jeevan Jyoti Shelter,Delhi,DL,72,52,20,72.2,39,40,60,Summer,Excellent condition,Thursday,5,0,38.1,281.0,1040029,30,High,7,0,9,10,26,10,0,14.4,10.8,186,1
24,03-03-2024,Jeevan Jyoti Shelter,Bangalore,KA,214,166,48,77.6,24,51,49,Summer,New admissions pending,Sunday,3,0,39.3,15.7,204692,32,Medium,4,0,70,10,19,16,9,13.0,8.8,204,1
25,28-10-2024,Sahara Vikas Kendra,Surat,GJ,282,214,68,75.9,44,52,48,Autumn,Excellent condition,Monday,10,0,38.6,125.6,4507335,36,High,1,1,54,5,8,17,1,6.5,12.9,13,0
26,13-01-2025,Premalaya Home,Jaipur,RJ,190,162,28,85.3,66,47,53,Winter,No issues reported,Monday,1,0,26.9,78.0,2441098,49,High,2,1,0,0,2,10,9,11.8,5.4,427,0
27,28-03-2025,Karuna Bhavan,Delhi,DL,199,121,78,60.8,31,48,52,Summer,Needs maintenance,Friday,3,0,36.6,219.2,1707888,6,Low,4,0,48,53,27,15,3,11.6,8.3,103,1
28,18-02-2025,Sahara Vikas Kendra,Ahmedabad,GJ,170,116,54,68.2,39,59,41,Winter,No issues reported,Tuesday,2,0,36.1,294.4,2635917,35,High,1,0,35,5,5,11,0,10.3,7.8,116,1
29,10-11-2024,Navjeevan Griha,Delhi,DL,292,221,71,75.7,46,58,42,Autumn,Excellent condition,Sunday,11,0,23.0,77.0,4887231,7,High,8,0,20,12,5,12,3,11.2,6.0,469,1
30,30-12-2023,Karuna Bhavan,Pune,MH,211,191,20,90.5,27,47,53,Winter,No issues reported,Saturday,12,0,35.7,196.3,1874964,58,Low,9,1,36,21,22,15,9,10.4,13.5,465,0
31,16-06-2025,Karuna Bhavan,Pune,MH,68,65,3,95.6,28,50,50,Monsoon,Normal,Monday,6,0,15.9,59.4,1438509,12,Medium,4,0,23,55,24,0,4,11.5,3.3,303,0
32,30-07-2024,Daya Sagar,Ahmedabad,GJ,276,197,79,71.4,20,57,43,Monsoon,No issues reported,Tuesday,7,0,29.9,169.6,3804542,28,Low,3,0,54,30,11,15,8,13.7,3.1,92,0
33,22-11-2023,Jeevan Jyoti Shelter,Bangalore,KA,258,183,75,70.9,20,54,46,Autumn,Needs maintenance,Wednesday,11,0,20.8,139.2,2548214,19,Low,2,0,24,21,22,14,0,4.6,9.1,426,0
34,07-10-2024,Premalaya Home,Hyderabad,TS,53,46,7,86.8,53,52,48,Autumn,High demand,Monday,10,1,18.0,291.6,4728083,47,Medium,5,1,6,36,29,5,4,14.2,10.2,143,0
35,03-04-2024,Premalaya Home,Mumbai,MH,109,55,54,50.5,39,45,55,Summer,High demand,Wednesday,4,1,16.9,182.6,4814812,35,High,3,0,70,46,0,11,1,5.0,3.7,109,0
36,09-06-2024,Sahara Vikas Kendra,Mumbai,MH,274,254,20,92.7,20,48,52,Monsoon,High demand,Sunday,6,0,32.4,104.9,4623574,13,Medium,7,1,70,26,15,7,8,4.0,6.5,162,1
37,24-05-2025,Sahara Vikas Kendra,Delhi,DL,251,157,94,62.5,57,58,42,Summer,Needs maintenance,Saturday,5,0,23.5,34.2,4158502,43,High,6,0,23,49,23,6,5,17.6,14.3,52,0
38,05-03-2025,Manav Seva Sangam,Ahmedabad,GJ,56,40,16,71.4,38,50,50,Summer,No issues reported,Wednesday,3,0,33.1,45.4,1618146,49,High,1,0,10,51,4,1,1,17.4,4.5,417,1
39,03-03-2024,Daya Sagar,Hyderabad,TS,254,177,77,69.7,66,41,59,Summer,New admissions pending,Sunday,3,0,16.6,67.6,533455,6,Medium,8,0,72,13,8,11,2,3.9,10.4,2,0
40,09-04-2025,Jeevan Jyoti Shelter,Ahmedabad,GJ,119,75,44,63.0,37,47,53,Summer,Excellent condition,Wednesday,4,0,22.9,75.3,4086405,12,Low,2,1,11,46,9,13,7,9.6,11.4,67,1
41,17-09-2024,Premalaya Home,Surat,GJ,108,79,29,73.1,40,44,56,Monsoon,No issues reported,Tuesday,9,0,28.5,255.2,597219,11,Medium,5,0,34,57,12,15,0,5.8,7.3,245,0
42,01-11-2024,Sahara Vikas Kendra,Chennai,TN,56,44,12,78.6,42,43,57,Autumn,Excellent condition,Friday,11,0,34.8,168.4,2236268,48,High,9,0,62,4,14,10,2,10.3,14.1,388,1
43,26-04-2024,Daya Sagar,Kolkata,WB,267,153,114,57.3,54,48,52,Summer,New admissions pending,Friday,4,0,23.0,157.0,4495975,55,Medium,8,1,67,57,11,19,9,15.5,11.3,137,1
44,05-02-2025,Karuna Bhavan,Pune,MH,115,102,13,88.7,50,42,58,Winter,High demand,Wednesday,2,1,30.6,34.4,4037793,43,Medium,2,1,56,35,4,8,0,17.3,7.4,307,1
45,28-03-2025,Navjeevan Griha,Mumbai,MH,196,137,59,69.9,22,59,41,Summer,New admissions pending,Friday,3,0,37.1,258.0,1674777,46,High,9,1,12,31,4,9,7,12.5,9.0,412,0
46,20-01-2025,Navjeevan Griha,Pune,MH,79,69,10,87.3,54,55,45,Winter,New admissions pending,Monday,1,0,30.4,216.8,2921656,20,Low,5,0,22,33,27,16,0,8.3,10.7,351,0
47,25-05-2024,Sahara Vikas Kendra,Jaipur,RJ,162,108,54,66.7,26,42,58,Summer,New admissions pending,Saturday,5,0,20.8,20.3,4758569,39,Medium,6,1,38,6,27,11,4,12.0,9.3,286,0
48,29-11-2023,Jeevan Jyoti Shelter,Delhi,DL,60,36,24,60.0,66,52,48,Autumn,Excellent condition,Wednesday,11,0,15.6,212.4,3905933,34,High,3,0,79,41,29,5,3,7.7,13.3,65,1
49,26-09-2023,Asha Deep Shelter,Kolkata,WB,187,186,1,99.5,24,54,46,Monsoon,Needs maintenance,Tuesday,9,0,36.8,163.1,4872684,14,High,3,1,11,47,17,18,6,16.6,6.0,459,1
50,06-09-2025,Navjeevan Griha,Pune,MH,101,80,21,79.2,56,45,55,Monsoon,High demand,Saturday,9,0,15.5,24.5,2376729,42,Medium,8,1,33,9,11,10,4,16.1,5.2,346,1
51,15-01-2025,Manav Seva Sangam,Chennai,TN,226,186,40,82.3,56,43,57,Winter,Normal,Wednesday,1,1,36.9,137.5,3957129,22,Low,2,1,70,49,26,8,7,11.4,4.0,324,0
52,12-09-2025,Jeevan Jyoti Shelter,Hyderabad,TS,50,42,8,84.0,37,55,45,Monsoon,Normal,Friday,9,0,28.2,145.4,145556,54,Medium,2,0,74,16,2,5,0,7.9,1.5,420,0
53,12-03-2024,Asha Deep Shelter,Delhi,DL,175,105,70,60.0,52,52,48,Summer,Normal,Tuesday,3,1,38.5,49.7,1947883,9,Low,5,0,30,29,25,15,4,7.4,1.6,154,1
54,30-05-2025,Apna Ghar Ashram,Mumbai,MH,57,39,18,68.4,69,58,42,Summer,Excellent condition,Friday,5,0,35.0,283.7,3519992,57,Low,6,0,61,20,24,19,3,3.5,13.2,86,0
55,30-12-2023,Manav Seva Sangam,Surat,GJ,219,204,15,93.2,44,59,41,Winter,Normal,Saturday,12,0,39.9,255.0,1605537,33,Low,2,0,12,59,6,15,2,15.2,10.5,32,0
56,11-06-2025,Manav Seva Sangam,Jaipur,RJ,198,168,30,84.8,58,49,51,Monsoon,Needs maintenance,Wednesday,6,1,23.8,200.7,702755,43,Low,5,0,30,12,16,5,4,9.8,10.2,67,0
57,20-03-2025,Karuna Bhavan,Chennai,TN,119,69,50,58.0,33,57,43,Summer,Excellent condition,Thursday,3,0,34.2,138.7,3716344,38,Medium,7,0,1,0,18,4,9,7.9,9.6,186,0
58,06-10-2023,Umeed Ki Kiran,Delhi,DL,267,236,31,88.4,27,43,57,Autumn,Excellent condition,Friday,10,0,25.0,123.5,3576362,47,High,8,0,14,0,27,3,2,10.1,12.9,191,1
59,25-08-2025,Karuna Bhavan,Kolkata,WB,70,69,1,98.6,68,48,52,Monsoon,Normal,Monday,8,0,27.0,195.3,793088,49,High,7,0,56,46,17,1,7,15.3,7.7,212,0
60,06-06-2024,Jeevan Jyoti Shelter,Mumbai,MH,156,150,6,96.2,27,57,43,Monsoon,New admissions pending,Thursday,6,0,30.7,163.6,4894747,27,High,8,0,74,32,0,5,2,4.9,13.2,87,0
61,17-04-2025,Premalaya Home,Bangalore,KA,259,196,63,75.7,67,48,52,Summer,Needs maintenance,Thursday,4,0,36.8,18.7,2645834,9,High,9,1,33,37,24,8,0,15.9,6.0,427,1
62,25-10-2024,Premalaya Home,Mumbai,MH,88,53,35,60.2,68,48,52,Autumn,New admissions pending,Friday,10,0,39.6,153.8,109778,34,High,5,1,67,24,23,16,8,16.5,14.0,350,1
63,02-08-2024,Karuna Bhavan,Pune,MH,173,146,27,84.4,33,41,59,Monsoon,No issues reported,Friday,8,0,34.2,241.9,1144409,10,High,5,0,74,25,4,13,8,17.2,10.8,107,0
64,03-02-2024,Daya Sagar,Jaipur,RJ,111,104,7,93.7,58,44,56,Winter,Normal,Saturday,2,0,25.4,137.8,2703528,50,Medium,4,0,28,12,26,6,5,9.0,4.6,239,0
65,18-04-2024,Karuna Bhavan,Delhi,DL,216,170,46,78.7,53,43,57,Summer,Normal,Thursday,4,0,25.5,15.6,4154399,48,Low,9,0,65,58,27,18,9,6.3,8.9,215,0
66,01-09-2025,Jeevan Jyoti Shelter,Bangalore,KA,111,107,4,96.4,68,53,47,Monsoon,New admissions pending,Monday,9,0,33.4,235.9,1563083,8,High,5,0,15,27,1,0,0,8.6,8.5,176,0
67,30-08-2024,Jeevan Jyoti Shelter,Jaipur,RJ,221,206,15,93.2,18,58,42,Monsoon,Normal,Friday,8,0,21.0,60.4,3392103,33,Medium,2,1,38,32,0,19,7,8.0,2.9,52,1
68,18-06-2025,Karuna Bhavan,Hyderabad,TS,261,193,68,73.9,51,50,50,Monsoon,Excellent condition,Wednesday,6,0,17.8,77.6,2223513,27,High,8,1,76,36,6,14,1,5.6,9.3,329,1
69,16-07-2025,Umeed Ki Kiran,Bangalore,KA,207,148,59,71.5,26,46,54,Monsoon,High demand,Wednesday,7,0,23.9,49.4,1448949,10,High,7,0,36,40,28,17,8,12.1,5.4,48,1
70,26-02-2024,Navjeevan Griha,Hyderabad,TS,124,104,20,83.9,23,50,50,Winter,Excellent condition,Monday,2,1,22.2,99.1,572154,36,Low,8,1,20,29,10,2,7,10.1,1.7,368,0
71,23-01-2024,Jeevan Jyoti Shelter,Chennai,TN,292,226,66,77.4,30,60,40,Winter,Needs maintenance,Tuesday,1,0,22.4,227.0,3518582,46,Low,3,1,43,56,10,17,2,16.0,14.3,113,0
72,29-06-2025,Navjeevan Griha,Kolkata,WB,259,252,7,97.3,18,52,48,Monsoon,Needs maintenance,Sunday,6,0,20.8,155.8,1061930,22,Low,4,0,18,48,17,1,4,3.5,10.0,449,1
73,24-01-2024,Sahara Vikas Kendra,Jaipur,RJ,256,201,55,78.5,29,57,43,Winter,Normal,Wednesday,1,0,16.1,61.5,1129525,19,High,5,0,70,47,16,9,8,12.7,13.3,94,0
74,02-10-2023,Navjeevan Griha,Ahmedabad,GJ,188,132,56,70.2,64,60,40,Autumn,High demand,Monday,10,0,15.4,263.3,1835818,44,High,6,0,7,7,1,10,0,14.4,10.5,446,1
75,27-01-2025,Sahara Vikas Kendra,Surat,GJ,102,82,20,80.4,32,43,57,Winter,No issues reported,Monday,1,0,39.7,263.9,3001720,36,High,1,0,76,48,6,2,8,14.4,6.0,24,1
76,19-12-2024,Premalaya Home,Chennai,TN,102,94,8,92.2,56,40,60,Winter,Needs maintenance,Thursday,12,0,25.7,261.2,1210117,13,Low,4,1,65,46,6,6,3,16.3,8.2,131,1
77,19-12-2023,Premalaya Home,Mumbai,MH,294,266,28,90.5,39,45,55,Winter,Excellent condition,Tuesday,12,0,24.6,71.6,2132963,41,Medium,5,0,40,55,9,7,3,13.9,10.5,178,1
78,13-08-2024,Daya Sagar,Delhi,DL,187,142,45,75.9,56,48,52,Monsoon,Excellent condition,Tuesday,8,0,32.0,135.4,4306146,14,High,7,1,74,0,21,18,3,16.9,14.4,394,1
79,18-08-2025,Asha Deep Shelter,Jaipur,RJ,59,46,13,78.0,66,50,50,Monsoon,Normal,Monday,8,0,20.5,295.5,2635171,24,High,5,0,69,11,20,17,9,8.0,4.6,144,1
80,15-05-2024,Navjeevan Griha,Surat,GJ,142,77,65,54.2,39,60,40,Summer,Normal,Wednesday,5,0,38.7,231.6,1331506,10,High,1,1,60,4,2,12,8,10.5,13.2,363,1
81,26-08-2024,Daya Sagar,Surat,GJ,273,203,70,74.4,20,41,59,Monsoon,New admissions pending,Monday,8,0,34.7,8.2,339134,52,Medium,7,0,25,23,29,12,5,3.2,13.9,449,0
82,20-03-2024,Daya Sagar,Kolkata,WB,279,155,124,55.6,47,52,48,Summer,New admissions pending,Wednesday,3,0,17.2,19.6,2818705,7,High,8,0,70,5,11,18,7,3.1,10.4,197,1
83,27-03-2025,Premalaya Home,Bangalore,KA,132,95,37,72.0,34,50,50,Summer,No issues reported,Thursday,3,0,25.4,139.2,4374660,46,Medium,7,1,69,24,2,11,3,6.6,14.0,456,1
84,08-06-2025,Manav Seva Sangam,Bangalore,KA,258,218,40,84.5,27,49,51,Monsoon,Normal,Sunday,6,0,37.0,272.8,2916069,15,High,4,1,28,0,10,16,2,4.5,6.6,324,0
85,25-01-2025,Navjeevan Griha,Pune,MH,106,74,32,69.8,23,47,53,Winter,Needs maintenance,Saturday,1,0,38.6,161.6,787090,47,Medium,8,1,65,24,28,11,0,6.9,14.3,83,1
86,30-08-2025,Asha Deep Shelter,Ahmedabad,GJ,220,197,23,89.5,68,55,45,Monsoon,Normal,Saturday,8,0,26.7,149.3,964565,21,High,5,0,18,0,11,12,9,5.7,10.8,156,0
87,11-09-2024,Karuna Bhavan,Surat,GJ,110,94,16,85.5,54,47,53,Monsoon,New admissions pending,Wednesday,9,0,30.3,31.6,3885598,36,Low,9,1,67,31,24,11,6,3.4,1.6,84,1
88,17-12-2024,Umeed Ki Kiran,Hyderabad,TS,152,108,44,71.1,32,42,58,Winter,Needs maintenance,Tuesday,12,0,19.2,197.0,1102425,8,Low,5,1,57,41,3,18,3,16.6,13.7,456,0
89,25-12-2023,Asha Deep Shelter,Mumbai,MH,89,66,23,74.2,63,40,60,Winter,Excellent condition,Monday,12,0,39.8,246.6,827567,8,Low,1,1,69,41,24,13,7,3.1,7.8,475,0
90,01-02-2024,Apna Ghar Ashram,Jaipur,RJ,178,149,29,83.7,37,40,60,Winter,No issues reported,Thursday,2,0,20.8,114.1,2766207,21,Low,9,1,56,2,15,6,2,14.0,7.4,252,0
91,31-01-2025,Daya Sagar,Delhi,DL,194,141,53,72.7,28,57,43,Winter,Needs maintenance,Friday,1,0,38.6,232.7,1799736,45,High,5,1,36,48,19,12,0,5.3,8.9,374,1
92,26-01-2025,Jeevan Jyoti Shelter,Pune,MH,180,163,17,90.6,62,60,40,Winter,No issues reported,Sunday,1,0,31.2,289.3,1620234,23,Low,6,1,60,18,17,5,4,16.7,3.1,71,0
93,13-07-2025,Premalaya Home,Bangalore,KA,294,252,42,85.7,52,48,52,Monsoon,Normal,Sunday,7,0,30.2,61.1,101707,9,Medium,4,1,29,59,3,18,1,16.4,7.6,222,1
94,10-09-2025,Umeed Ki Kiran,Bangalore,KA,148,144,4,97.3,59,53,47,Monsoon,Excellent condition,Wednesday,9,0,27.8,157.0,330833,36,Low,6,1,70,42,21,18,2,12.8,12.6,275,1
95,01-05-2025,Sahara Vikas Kendra,Pune,MH,209,122,87,58.4,51,41,59,Summer,High demand,Thursday,5,0,20.8,86.1,3749100,26,Low,8,1,72,28,5,3,5,13.1,1.2,282,1
96,07-11-2023,Navjeevan Griha,Ahmedabad,GJ,104,89,15,85.6,42,60,40,Autumn,No issues reported,Tuesday,11,0,19.4,237.9,1138963,10,Low,3,0,24,49,20,18,2,3.1,4.8,263,1
97,09-08-2025,Manav Seva Sangam,Ahmedabad,GJ,257,254,3,98.8,63,56,44,Monsoon,Needs maintenance,Saturday,8,0,20.5,173.3,1927145,39,High,5,0,64,1,14,8,2,17.8,1.0,245,1
98,16-09-2024,Jeevan Jyoti Shelter,Chennai,TN,76,59,17,77.6,53,44,56,Monsoon,No issues reported,Monday,9,0,19.7,190.4,2333785,26,Low,2,1,5,8,0,15,5,16.2,6.8,340,1
99,14-11-2024,Manav Seva Sangam,Mumbai,MH,93,75,18,80.6,29,44,56,Autumn,No issues reported,Thursday,11,0,34.5,239.4,4044420,5,Medium,2,0,17,55,2,3,4,16.4,11.2,60,1
100,21-12-2023,Sahara Vikas Kendra,Mumbai,MH,90,74,16,82.2,62,52,48,Winter,High demand,Thursday,12,0,23.8,118.8,884874,24,Low,7,0,9,16,4,5,9,12.9,12.2,411,0
101,25-09-2024,Asha Deep Shelter,Mumbai,MH,129,104,25,80.6,28,58,42,Monsoon,No issues reported,Wednesday,9,0,16.4,274.5,939493,26,Low,6,1,10,59,21,7,8,8.2,14.2,470,1
102,16-11-2024,Sahara Vikas Kendra,Jaipur,RJ,233,197,36,84.5,18,40,60,Autumn,Needs maintenance,Saturday,11,0,39.2,159.9,828799,52,Low,4,1,64,45,29,15,0,16.4,9.5,453,1
103,01-02-2025,Sahara Vikas Kendra,Ahmedabad,GJ,111,89,22,80.2,22,53,47,Winter,New admissions pending,Saturday,2,0,37.1,47.4,3583716,59,Medium,5,1,76,35,16,4,2,7.4,4.6,258,0
104,20-07-2024,Karuna Bhavan,Chennai,TN,248,194,54,78.2,43,53,47,Monsoon,New admissions pending,Saturday,7,0,38.2,208.8,3557447,15,Low,1,1,64,16,29,9,2,11.4,13.9,452,1
105,13-09-2025,Premalaya Home,Delhi,DL,96,88,8,91.7,65,54,46,Monsoon,New admissions pending,Saturday,9,1,39.9,238.0,929459,17,Medium,7,1,51,48,13,12,5,4.5,11.9,456,0
106,25-04-2025,Manav Seva Sangam,Ahmedabad,GJ,90,50,40,55.6,24,50,50,Summer,New admissions pending,Friday,4,0,19.3,95.0,2231533,46,Medium,8,1,66,11,8,13,7,16.8,9.0,6,0
107,20-09-2023,Apna Ghar Ashram,Kolkata,WB,87,65,22,74.7,42,45,55,Monsoon,New admissions pending,Wednesday,9,0,24.9,257.2,1872744,7,Low,9,0,77,59,29,6,2,5.1,10.7,187,1
108,01-06-2025,Karuna Bhavan,Jaipur,RJ,292,270,22,92.5,54,44,56,Monsoon,Excellent condition,Sunday,6,0,34.0,271.8,2341136,13,Medium,8,1,30,19,2,19,2,6.4,13.9,3,1
109,29-02-2024,Karuna Bhavan,Jaipur,RJ,140,91,49,65.0,57,44,56,Winter,Excellent condition,Thursday,2,0,32.4,83.1,3691644,16,High,5,0,16,49,25,5,5,11.4,11.0,230,0
110,19-04-2025,Jeevan Jyoti Shelter,Jaipur,RJ,110,72,38,65.5,58,42,58,Summer,Normal,Saturday,4,0,18.8,295.1,3893139,27,Low,3,1,54,2,12,6,7,14.5,6.2,132,1
111,25-04-2025,Sahara Vikas Kendra,Jaipur,RJ,122,65,57,53.3,45,43,57,Summer,Needs maintenance,Friday,4,0,35.4,42.2,3143510,18,Low,9,1,35,42,2,4,5,12.3,11.0,394,0
112,08-05-2024,Sahara Vikas Kendra,Surat,GJ,136,77,59,56.6,30,50,50,Summer,Excellent condition,Wednesday,5,0,20.6,60.6,4982400,37,Medium,6,0,25,56,10,17,9,6.5,1.6,124,0
113,31-05-2025,Asha Deep Shelter,Bangalore,KA,220,172,48,78.2,46,58,42,Summer,Needs maintenance,Saturday,5,1,20.6,55.3,4235224,22,Medium,5,1,52,49,1,11,2,3.0,6.4,14,1
114,02-06-2024,Sahara Vikas Kendra,Hyderabad,TS,295,291,4,98.6,68,54,46,Monsoon,Normal,Sunday,6,0,28.4,268.2,4497395,53,Low,3,1,16,3,23,5,3,14.4,6.7,447,0
115,20-11-2024,Apna Ghar Ashram,Bangalore,KA,270,172,98,63.7,61,49,51,Autumn,New admissions pending,Wednesday,11,0,29.8,196.3,902050,45,High,6,0,24,16,14,0,0,17.8,3.3,481,1
116,13-02-2024,Premalaya Home,Kolkata,WB,153,127,26,83.0,53,56,44,Winter,No issues reported,Tuesday,2,0,29.5,45.6,2411216,13,Medium,3,1,1,49,12,3,7,15.1,1.3,12,1
117,22-01-2025,Asha Deep Shelter,Bangalore,KA,78,59,19,75.6,42,42,58,Winter,Normal,Wednesday,1,0,17.3,132.1,2617587,27,Medium,6,0,4,36,18,18,3,9.9,2.9,117,0
118,11-09-2024,Asha Deep Shelter,Surat,GJ,106,79,27,74.5,27,46,54,Monsoon,Needs maintenance,Wednesday,9,0,36.9,184.6,4845464,14,High,4,1,3,45,21,11,5,16.6,10.2,239,0
119,21-01-2024,Karuna Bhavan,Delhi,DL,81,55,26,67.9,43,47,53,Winter,No issues reported,Sunday,1,0,21.6,25.0,314237,23,High,2,1,35,41,15,14,2,9.1,12.2,262,1
120,30-06-2025,Navjeevan Griha,Chennai,TN,296,261,35,88.2,33,53,47,Monsoon,New admissions pending,Monday,6,0,18.2,264.7,4519353,51,Low,8,0,5,14,17,2,5,10.9,14.8,359,1
121,04-09-2025,Sahara Vikas Kendra,Chennai,TN,205,194,11,94.6,27,56,44,Monsoon,New admissions pending,Thursday,9,0,37.2,241.1,4890351,9,High,4,1,20,32,6,19,8,10.2,5.8,5,1
122,05-05-2025,Navjeevan Griha,Jaipur,RJ,227,129,98,56.8,62,42,58,Summer,New admissions pending,Monday,5,0,38.9,151.6,2564719,51,Low,9,0,76,15,12,7,8,9.7,9.4,439,0
123,30-08-2024,Sahara Vikas Kendra,Kolkata,WB,246,182,64,74.0,48,43,57,Monsoon,Excellent condition,Friday,8,0,36.6,290.1,1958911,56,High,7,0,25,10,3,10,9,14.6,14.1,319,1
124,14-06-2025,Daya Sagar,Jaipur,RJ,113,97,16,85.8,20,47,53,Monsoon,No issues reported,Saturday,6,0,35.2,125.3,4052981,27,Medium,2,0,54,54,8,15,2,10.9,3.3,230,0
125,15-07-2025,Manav Seva Sangam,Ahmedabad,GJ,94,84,10,89.4,19,42,58,Monsoon,High demand,Tuesday,7,0,31.4,295.2,1469920,34,Low,4,1,38,19,29,8,2,7.8,11.0,433,0
126,09-08-2025,Asha Deep Shelter,Ahmedabad,GJ,97,88,9,90.7,37,41,59,Monsoon,High demand,Saturday,8,0,28.8,200.4,2229441,29,Low,5,1,32,37,9,2,3,6.9,11.6,29,0
